Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0006614~SRP-dependent cotranslational protein targeting to membrane	5	10.638297872340425	7.957323569154482E-5	U43701, L19739, BC014459, BC058041, NM_001021, NM_001146227, NM_001030, L13802, NM_001006, NM_001023, L06498, BC062715, NM_000984, BC070219	42	94	16792	21.266464032421478	0.027080426634600085	0.027080426634600085	0.10854318847587363
GOTERM_BP_DIRECT	GO:0019083~viral transcription	5	10.638297872340425	1.5700997759632084E-4	U43701, L19739, BC014459, BC058041, NM_001021, NM_001146227, NM_001030, L13802, NM_001006, NM_001023, L06498, BC062715, NM_000984, BC070219	42	112	16792	17.848639455782312	0.05273149635657515	0.026722802258562717	0.21406722251215982
GOTERM_BP_DIRECT	GO:0006364~rRNA processing	6	12.76595744680851	1.6548875667886403E-4	U43701, L19739, BC014459, BC058041, NM_001021, NM_001146227, NM_001030, L13802, NM_001006, BC043345, NM_001023, L06498, BC062715, NM_000984, BC070219	42	214	16792	11.209612817089452	0.0554988228793859	0.01885280217061569	0.22561508564352684
GOTERM_BP_DIRECT	GO:0000184~nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	5	10.638297872340425	1.9828538677446231E-4	U43701, L19739, BC014459, BC058041, NM_001021, NM_001146227, NM_001030, L13802, NM_001006, NM_001023, L06498, BC062715, NM_000984, BC070219	42	119	16792	16.79871948779512	0.06612738963972986	0.016958370590416938	0.27027153148893035
GOTERM_BP_DIRECT	GO:0006413~translational initiation	5	10.638297872340425	3.397550429943862E-4	U43701, L19739, BC014459, BC058041, NM_001021, NM_001146227, NM_001030, L13802, NM_001006, NM_001023, L06498, BC062715, NM_000984, BC070219	42	137	16792	14.5915884602016	0.11062419643447385	0.023174334378227468	0.4626868187541211
GOTERM_BP_DIRECT	GO:0006412~translation	5	10.638297872340425	0.003289857245951756	U43701, L19739, BC014459, BC058041, NM_001021, NM_001146227, NM_001030, L13802, NM_001006, NM_001023, L06498, BC062715, NM_000984, BC070219	42	253	16792	7.90137398833051	0.6791789699016875	0.17260961160729105	4.397617538583809
GOTERM_BP_DIRECT	GO:0035606~peptidyl-cysteine S-trans-nitrosylation	2	4.25531914893617	0.004877461209542984	M26311, NM_002046, NM_002965, X01677	42	2	16792	399.8095238095238	0.8148966980626284	0.21414054837653007	6.455054680495042
GOTERM_BP_DIRECT	GO:0002486~antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent	2	4.25531914893617	0.007307480512277173	NM_002116, U35431, BC003069, AK301019	42	3	16792	266.53968253968253	0.9203678420262874	0.2711535200977646	9.524874933762806
GOTERM_BP_DIRECT	GO:0019882~antigen processing and presentation	3	6.382978723404255	0.007959027934152787	NM_033554, AK292709, BC009956, NM_002116, U35431, M27487, BC003069, AB209058, AK301019	42	55	16792	21.807792207792208	0.9365085591693575	0.26384654681045605	10.331947978022205
GOTERM_BP_DIRECT	GO:0042270~protection from natural killer cell mediated cytotoxicity	2	4.25531914893617	0.01215016391431213	NM_002116, U35431, BC003069, AK301019	42	5	16792	159.92380952380952	0.9852642724860332	0.344100713880909	15.366104136677105
GOTERM_BP_DIRECT	GO:0060333~interferon-gamma-mediated signaling pathway	3	6.382978723404255	0.012995424164765802	NM_033554, AK292709, BC009956, NM_002116, U35431, M27487, BC003069, AB209058, AK301019	42	71	16792	16.893360160965795	0.9890323822850258	0.3365191516269802	16.349094871549852
GOTERM_BP_DIRECT	GO:2001020~regulation of response to DNA damage stimulus	2	4.25531914893617	0.01937100229696305	NM_001197320, BC000844, NM_182763, AF039067, BC005080, NM_003897, NM_021960, BC017197, AF083421, BT006703	42	8	16792	99.95238095238095	0.9988274473925881	0.4301493761448285	23.429662649012293
GOTERM_BP_DIRECT	GO:0034101~erythrocyte homeostasis	2	4.25531914893617	0.021766485430183103	NM_001021, BC062715, BC117481, NM_004136	42	9	16792	88.84656084656085	0.999495715592223	0.442352631752854	25.943319663293252
GOTERM_BP_DIRECT	GO:0002480~antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent	2	4.25531914893617	0.021766485430183103	NM_002116, U35431, BC003069, AK301019	42	9	16792	88.84656084656085	0.999495715592223	0.442352631752854	25.943319663293252
