GENBANK_ACCESSION	Name	Species
D50063	proteasome 26S subunit, non-ATPase 7(PSMD7)	Homo sapiens
NM_002811	proteasome 26S subunit, non-ATPase 7(PSMD7)	Homo sapiens
NM_004374	cytochrome c oxidase subunit 6C(COX6C)	Homo sapiens
BC000187	cytochrome c oxidase subunit 6C(COX6C)	Homo sapiens
NM_004877	glia maturation factor gamma(GMFG)	Homo sapiens
BC093799	glia maturation factor gamma(GMFG)	Homo sapiens
BC001429	annexin A5(ANXA5)	Homo sapiens
NM_001154	annexin A5(ANXA5)	Homo sapiens
BX647931	MIR4435-2 host gene(MIR4435-2HG)	Homo sapiens
NR_024373	MIR4435-2 host gene(MIR4435-2HG)	Homo sapiens
NR_015395	MIR4435-2 host gene(MIR4435-2HG)	Homo sapiens
NR_027783	spermidine/spermine N1-acetyltransferase 1(SAT1)	Homo sapiens
NM_002970	spermidine/spermine N1-acetyltransferase 1(SAT1)	Homo sapiens
BC008424	spermidine/spermine N1-acetyltransferase 1(SAT1)	Homo sapiens
NR_003370	RRN3 homolog, RNA polymerase I transcription factor pseudogene 1(RRN3P1)	Homo sapiens
BC068999	RRN3 homolog, RNA polymerase I transcription factor pseudogene 1(RRN3P1)	Homo sapiens
NM_181690	AKT serine/threonine kinase 3(AKT3)	Homo sapiens
NM_005465	AKT serine/threonine kinase 3(AKT3)	Homo sapiens
AY005799	AKT serine/threonine kinase 3(AKT3)	Homo sapiens
NM_002966	S100 calcium binding protein A10(S100A10)	Homo sapiens
BC105786	S100 calcium binding protein A10(S100A10)	Homo sapiens
NR_001445	RNA, 7SK small nuclear(RN7SK)	Homo sapiens
NM_005620	S100 calcium binding protein A11(S100A11)	Homo sapiens
D38583	S100 calcium binding protein A11(S100A11)	Homo sapiens
AY258285	ferritin heavy chain 1(FTH1)	Homo sapiens
NM_002032	ferritin heavy chain 1(FTH1)	Homo sapiens
BC016857	ferritin heavy chain 1(FTH1)	Homo sapiens
NM_002823	prothymosin, alpha(PTMA)	Homo sapiens
AF348514	prothymosin, alpha(PTMA)	Homo sapiens
NM_001099285	prothymosin, alpha(PTMA)	Homo sapiens
M17017	C-X-C motif chemokine ligand 8(CXCL8)	Homo sapiens
NM_000584	C-X-C motif chemokine ligand 8(CXCL8)	Homo sapiens
NM_000700	annexin A1(ANXA1)	Homo sapiens
BC035993	annexin A1(ANXA1)	Homo sapiens
AK291328	S100 calcium binding protein A8(S100A8)	Homo sapiens
NM_002964	S100 calcium binding protein A8(S100A8)	Homo sapiens
BC137090	MACC1, MET transcriptional regulator(MACC1)	Homo sapiens
NM_182762	MACC1, MET transcriptional regulator(MACC1)	Homo sapiens
NM_020357	PEST proteolytic signal containing nuclear protein(PCNP)	Homo sapiens
AB037675	PEST proteolytic signal containing nuclear protein(PCNP)	Homo sapiens
BC022001	PEST proteolytic signal containing nuclear protein(PCNP)	Homo sapiens
AK092912	influenza virus NS1A binding protein(IVNS1ABP)	Homo sapiens
NM_006469	influenza virus NS1A binding protein(IVNS1ABP)	Homo sapiens
BC067739	influenza virus NS1A binding protein(IVNS1ABP)	Homo sapiens
AK292431	influenza virus NS1A binding protein(IVNS1ABP)	Homo sapiens
DQ443528	influenza virus NS1A binding protein(IVNS1ABP)	Homo sapiens
AF205218	influenza virus NS1A binding protein(IVNS1ABP)	Homo sapiens
AK023123	influenza virus NS1A binding protein(IVNS1ABP)	Homo sapiens
BX649183	influenza virus NS1A binding protein(IVNS1ABP)	Homo sapiens
BX648273	influenza virus NS1A binding protein(IVNS1ABP)	Homo sapiens
AF006082	ARP2 actin related protein 2 homolog(ACTR2)	Homo sapiens
NM_001005386	ARP2 actin related protein 2 homolog(ACTR2)	Homo sapiens
NM_005722	ARP2 actin related protein 2 homolog(ACTR2)	Homo sapiens
BC056883	breast carcinoma amplified sequence 4(BCAS4)	Homo sapiens
S73591	thioredoxin interacting protein(TXNIP)	Homo sapiens
NM_006472	thioredoxin interacting protein(TXNIP)	Homo sapiens
BC104660	RRN3 homolog, RNA polymerase I transcription factor(RRN3)	Homo sapiens
AK304856	RRN3 homolog, RNA polymerase I transcription factor(RRN3)	Homo sapiens
NM_018427	RRN3 homolog, RNA polymerase I transcription factor(RRN3)	Homo sapiens
NM_001042466	prosaposin(PSAP)	Homo sapiens
NM_002778	prosaposin(PSAP)	Homo sapiens
NM_001042465	prosaposin(PSAP)	Homo sapiens
M60257	prosaposin(PSAP)	Homo sapiens
AF379624	neuroblastoma breakpoint family member 1(NBPF1)	Homo sapiens
BC034418	neuroblastoma breakpoint family member 1(NBPF1)	Homo sapiens
NM_001104587	schlafen family member 11(SLFN11)	Homo sapiens
NM_001104590	schlafen family member 11(SLFN11)	Homo sapiens
NM_001104588	schlafen family member 11(SLFN11)	Homo sapiens
AL831964	schlafen family member 11(SLFN11)	Homo sapiens
BC052586	schlafen family member 11(SLFN11)	Homo sapiens
NM_001104589	schlafen family member 11(SLFN11)	Homo sapiens
NM_152270	schlafen family member 11(SLFN11)	Homo sapiens
BC004245	ferritin light chain(FTL)	Homo sapiens
NM_000146	ferritin light chain(FTL)	Homo sapiens
NM_018955	ubiquitin B(UBB)	Homo sapiens
BC000379	ubiquitin B(UBB)	Homo sapiens
AB209782	ubiquitin C(UBC)	Homo sapiens
NM_021009	ubiquitin C(UBC)	Homo sapiens
BC081561	H3 histone family member 3A(H3F3A)	Homo sapiens
NM_002107	H3 histone family member 3A(H3F3A)	Homo sapiens
BC038989	H3 histone family member 3A(H3F3A)	Homo sapiens
BX538238	metastasis associated lung adenocarcinoma transcript 1 (non-protein coding)(MALAT1)	Homo sapiens
AF001542	metastasis associated lung adenocarcinoma transcript 1 (non-protein coding)(MALAT1)	Homo sapiens
NR_002819	metastasis associated lung adenocarcinoma transcript 1 (non-protein coding)(MALAT1)	Homo sapiens
BC009716	C-C motif chemokine ligand 2(CCL2)	Homo sapiens
NM_002982	C-C motif chemokine ligand 2(CCL2)	Homo sapiens
BC060762	phosphodiesterase 8A(PDE8A)	Homo sapiens
NM_002605	phosphodiesterase 8A(PDE8A)	Homo sapiens
NM_173454	phosphodiesterase 8A(PDE8A)	Homo sapiens
NM_001008540	C-X-C motif chemokine receptor 4(CXCR4)	Homo sapiens
AF147204	C-X-C motif chemokine receptor 4(CXCR4)	Homo sapiens
NM_003467	C-X-C motif chemokine receptor 4(CXCR4)	Homo sapiens
NM_004633	interleukin 1 receptor type 2(IL1R2)	Homo sapiens
BC039031	interleukin 1 receptor type 2(IL1R2)	Homo sapiens
BC065194	lysophosphatidylcholine acyltransferase 3(LPCAT3)	Homo sapiens
NM_005768	lysophosphatidylcholine acyltransferase 3(LPCAT3)	Homo sapiens
NM_001142678	anoctamin 6(ANO6)	Homo sapiens
BC098410	anoctamin 6(ANO6)	Homo sapiens
NM_001025356	anoctamin 6(ANO6)	Homo sapiens
NM_001142679	anoctamin 6(ANO6)	Homo sapiens
BC007673	lymphocyte cytosolic protein 1(LCP1)	Homo sapiens
AK097174	lymphocyte cytosolic protein 1(LCP1)	Homo sapiens
BC010271	lymphocyte cytosolic protein 1(LCP1)	Homo sapiens
AK093568	lymphocyte cytosolic protein 1(LCP1)	Homo sapiens
J02923	lymphocyte cytosolic protein 1(LCP1)	Homo sapiens
AK300556	lymphocyte cytosolic protein 1(LCP1)	Homo sapiens
AK097275	lymphocyte cytosolic protein 1(LCP1)	Homo sapiens
NM_002298	lymphocyte cytosolic protein 1(LCP1)	Homo sapiens
M22300	lymphocyte cytosolic protein 1(LCP1)	Homo sapiens
AK292890	lymphocyte cytosolic protein 2(LCP2)	Homo sapiens
NM_005565	lymphocyte cytosolic protein 2(LCP2)	Homo sapiens
S63912	heterogeneous nuclear ribonucleoprotein A3 pseudogene 1(HNRNPA3P1)	Homo sapiens
NR_002726	heterogeneous nuclear ribonucleoprotein A3 pseudogene 1(HNRNPA3P1)	Homo sapiens
AK301136	fms related tyrosine kinase 3 ligand(FLT3LG)	Homo sapiens
L03558	cystatin B(CSTB)	Homo sapiens
NM_000100	cystatin B(CSTB)	Homo sapiens
NM_006432	NPC intracellular cholesterol transporter 2(NPC2)	Homo sapiens
BC002532	NPC intracellular cholesterol transporter 2(NPC2)	Homo sapiens
NM_198395	G3BP stress granule assembly factor 1(G3BP1)	Homo sapiens
BC006997	G3BP stress granule assembly factor 1(G3BP1)	Homo sapiens
NM_005754	G3BP stress granule assembly factor 1(G3BP1)	Homo sapiens
NM_032182	family with sequence similarity 175 member B(FAM175B)	Homo sapiens
BC008999	family with sequence similarity 175 member B(FAM175B)	Homo sapiens
AK054850	neuroblastoma breakpoint family member 11(NBPF11)	Homo sapiens
AL832622	neuroblastoma breakpoint family member 11(NBPF11)	Homo sapiens
AK302413	neuroblastoma breakpoint family member 11(NBPF11)	Homo sapiens
BC136292	neuroblastoma breakpoint family member 11(NBPF11)	Homo sapiens
NM_001101663	neuroblastoma breakpoint family member 11(NBPF11)	Homo sapiens
BX648497	neuroblastoma breakpoint family member 11(NBPF11)	Homo sapiens
NM_183372	neuroblastoma breakpoint family member 11(NBPF11)	Homo sapiens
U02020	nicotinamide phosphoribosyltransferase(NAMPT)	Homo sapiens
NM_005746	nicotinamide phosphoribosyltransferase(NAMPT)	Homo sapiens
NM_001195643	dihydrofolate reductase 2(DHFR2)	Homo sapiens
U51240	lysosomal protein transmembrane 5(LAPTM5)	Homo sapiens
NM_006762	lysosomal protein transmembrane 5(LAPTM5)	Homo sapiens
BC107889	thymosin beta 10(TMSB10)	Homo sapiens
NM_021103	thymosin beta 10(TMSB10)	Homo sapiens
AK294944	neuroblastoma breakpoint family member 26(NBPF26)	Homo sapiens
BC026093	ADP ribosylation factor like GTPase 15(ARL15)	Homo sapiens
NM_019087	ADP ribosylation factor like GTPase 15(ARL15)	Homo sapiens
BC009718	epithelial membrane protein 3(EMP3)	Homo sapiens
NM_001425	epithelial membrane protein 3(EMP3)	Homo sapiens
AK027429	eukaryotic translation initiation factor 3 subunit L(EIF3L)	Homo sapiens
BC001634	vesicle associated membrane protein 8(VAMP8)	Homo sapiens
NM_003761	vesicle associated membrane protein 8(VAMP8)	Homo sapiens
NM_001912	cathepsin L(CTSL)	Homo sapiens
NM_145918	cathepsin L(CTSL)	Homo sapiens
AK055599	cathepsin L(CTSL)	Homo sapiens
NM_001040058	secreted phosphoprotein 1(SPP1)	Homo sapiens
NM_001040060	secreted phosphoprotein 1(SPP1)	Homo sapiens
AK295491	secreted phosphoprotein 1(SPP1)	Homo sapiens
NM_000582	secreted phosphoprotein 1(SPP1)	Homo sapiens
NR_028494	LYR motif containing 2(LYRM2)	Homo sapiens
NR_028495	LYR motif containing 2(LYRM2)	Homo sapiens
NR_028493	LYR motif containing 2(LYRM2)	Homo sapiens
NM_020466	LYR motif containing 2(LYRM2)	Homo sapiens
BC104668	LYR motif containing 2(LYRM2)	Homo sapiens
NR_002935	fatty acid binding protein 5 pseudogene 3(FABP5P3)	Homo sapiens
AK128061	TATA-box binding protein associated factor, RNA polymerase I subunit D(TAF1D)	Homo sapiens
NR_003242	profilin 1 pseudogene 2(PFN1P2)	Homo sapiens
BC137262	profilin 1 pseudogene 2(PFN1P2)	Homo sapiens
BC005118	eukaryotic translation initiation factor 1(EIF1)	Homo sapiens
NM_005801	eukaryotic translation initiation factor 1(EIF1)	Homo sapiens
NM_007010	DExD-box helicase 52(DDX52)	Homo sapiens
BC041785	DExD-box helicase 52(DDX52)	Homo sapiens
BC070202	cytoskeleton regulator RNA(CYTOR)	Homo sapiens
NR_024204	cytoskeleton regulator RNA(CYTOR)	Homo sapiens
NR_024205	cytoskeleton regulator RNA(CYTOR)	Homo sapiens
NR_024206	cytoskeleton regulator RNA(CYTOR)	Homo sapiens
BC064832	solute carrier family 16 member 6(SLC16A6)	Homo sapiens
NM_004694	solute carrier family 16 member 6(SLC16A6)	Homo sapiens
NM_001174166	solute carrier family 16 member 6(SLC16A6)	Homo sapiens
AB209534	heat shock protein 90 beta family member 1(HSP90B1)	Homo sapiens
NM_003299	heat shock protein 90 beta family member 1(HSP90B1)	Homo sapiens
BX538309	MAM domain containing 2(MAMDC2)	Homo sapiens
AK075017	ubiquitin conjugating enzyme E2 J2(UBE2J2)	Homo sapiens
BC015557	CD68 molecule(CD68)	Homo sapiens
NM_001251	CD68 molecule(CD68)	Homo sapiens
NM_001040059	CD68 molecule(CD68)	Homo sapiens
BC010952	peptidase inhibitor 3(PI3)	Homo sapiens
NM_002638	peptidase inhibitor 3(PI3)	Homo sapiens
AL050141	neuroblastoma breakpoint family member 10(NBPF10)	Homo sapiens
AF379616	neuroblastoma breakpoint family member 10(NBPF10)	Homo sapiens
NM_001039703	neuroblastoma breakpoint family member 10(NBPF10)	Homo sapiens
AY894565	neuroblastoma breakpoint family member 10(NBPF10)	Homo sapiens
AK000726	neuroblastoma breakpoint family member 10(NBPF10)	Homo sapiens
NM_004355	CD74 molecule(CD74)	Homo sapiens
NM_001025158	CD74 molecule(CD74)	Homo sapiens
NM_001025159	CD74 molecule(CD74)	Homo sapiens
BC018726	CD74 molecule(CD74)	Homo sapiens
NM_176895	phospholipid phosphatase 1(PLPP1)	Homo sapiens
BC015403	tropomyosin 3(TPM3)	Homo sapiens
NM_153649	tropomyosin 3(TPM3)	Homo sapiens
NM_001780	CD63 molecule(CD63)	Homo sapiens
M59907	CD63 molecule(CD63)	Homo sapiens
BC020602	NOP2/Sun RNA methyltransferase family member 3(NSUN3)	Homo sapiens
NM_022072	NOP2/Sun RNA methyltransferase family member 3(NSUN3)	Homo sapiens
	BC003537		
	AF339086		
	AK097322		
	Z36796		
	AK095270		
	L20086		
	U27608		
	AL359334		
	BC024102		
	NR_036430		
	AK075323		
	AF391805		
	AK124495		
	M28016		
	AK074742		
	GQ141863		
	AK290388		
	AF339085		
	U83416		
	X02494		
	X15759		
	AF284753		
	AF418978		
	L33923		
	BX647414		
	AK128886		
	BX648054		
	BC046137		
	L08441		
	AK074482		
	AK026170		
	AK125561		
	AK130153		
	AK000624		
